geoName,Artificial Intelligence,Electric Vehicles,Climate Change,Data Analytics
Andaman and Nicobar Islands,35,6,51,8
Andhra Pradesh,49,7,21,23
Arunachal Pradesh,24,3,71,2
Assam,30,4,59,7
Bihar,37,4,46,13
Chandigarh,38,5,43,14
Chhattisgarh,41,6,39,14
Dadra and Nagar Haveli,41,8,37,14
Daman and Diu,32,9,43,16
Delhi,32,6,40,22
Goa,23,11,50,16
Gujarat,33,8,39,20
Haryana,35,7,36,22
Himachal Pradesh,39,5,47,9
Jammu and Kashmir,40,3,50,7
Jharkhand,38,5,41,16
Karnataka,37,8,24,31
Kerala,40,6,35,19
Lakshadweep,0,0,0,0
Madhya Pradesh,42,5,32,21
Maharashtra,36,7,29,28
Manipur,20,3,72,5
Meghalaya,25,4,63,8
Mizoram,27,2,67,4
Nagaland,24,3,69,4
Odisha,33,6,46,15
Puducherry,45,6,29,20
Punjab,42,4,41,13
Rajasthan,38,7,37,18
Sikkim,28,2,64,6
Tamil Nadu,47,6,25,22
Telangana,39,7,24,30
Tripura,37,5,48,10
Uttar Pradesh,40,5,36,19
Uttarakhand,39,4,41,16
West Bengal,35,5,41,19
