date,Artificial Intelligence,Electric Vehicles,Climate Change,Data Analytics,isPartial
2019-01-01,6,1,2,3,False
2019-02-01,6,1,2,3,False
2019-03-01,5,1,2,3,False
2019-04-01,5,1,2,3,False
2019-05-01,6,1,2,3,False
2019-06-01,6,1,3,3,False
2019-07-01,7,2,3,3,False
2019-08-01,6,2,3,4,False
2019-09-01,7,1,4,3,False
2019-10-01,6,1,4,3,False
2019-11-01,7,1,4,4,False
2019-12-01,6,1,3,3,False
2020-01-01,7,1,4,4,False
2020-02-01,7,1,3,4,False
2020-03-01,5,1,3,3,False
2020-04-01,6,1,2,3,False
2020-05-01,6,1,2,4,False
2020-06-01,6,1,3,3,False
2020-07-01,6,1,2,3,False
2020-08-01,6,1,3,3,False
2020-09-01,6,1,3,4,False
2020-10-01,6,1,3,2,False
2020-11-01,6,1,3,2,False
2020-12-01,6,1,3,3,False
2021-01-01,6,1,3,3,False
2021-02-01,7,2,3,3,False
2021-03-01,7,2,4,4,False
2021-04-01,6,1,3,4,False
2021-05-01,7,1,3,4,False
2021-06-01,8,2,3,5,False
2021-07-01,7,2,3,4,False
2021-08-01,8,2,4,4,False
2021-09-01,8,2,4,4,False
2021-10-01,7,2,4,3,False
2021-11-01,7,2,5,4,False
2021-12-01,7,2,4,4,False
2022-01-01,8,2,6,5,False
2022-02-01,10,2,6,7,False
2022-03-01,10,3,6,6,False
2022-04-01,9,2,100,6,False
2022-05-01,9,2,7,6,False
2022-06-01,11,2,6,6,False
2022-07-01,10,2,5,6,False
2022-08-01,9,2,5,6,False
2022-09-01,10,2,5,6,False
2022-10-01,8,2,5,5,False
2022-11-01,9,2,6,6,False
2022-12-01,9,2,5,6,False
2023-01-01,9,2,5,6,False
2023-02-01,11,2,5,6,False
2023-03-01,11,2,5,6,False
2023-04-01,11,1,39,6,False
2023-05-01,13,1,6,6,False
2023-06-01,15,2,6,7,False
2023-07-01,14,2,5,7,False
2023-08-01,12,2,5,6,False
2023-09-01,11,2,5,6,False
2023-10-01,9,1,5,6,False
2023-11-01,9,1,5,5,False
2023-12-01,11,2,5,6,False
2024-01-01,11,2,5,6,False
2024-02-01,12,2,5,7,False
2024-03-01,11,2,4,7,False
2024-04-01,10,1,53,6,False
2024-05-01,11,1,7,7,False
2024-06-01,10,1,6,6,False
2024-07-01,10,1,5,6,False
2024-08-01,10,1,5,6,False
2024-09-01,10,1,5,6,False
2024-10-01,8,1,5,5,False
2024-11-01,9,1,5,6,False
2024-12-01,9,1,5,6,False
2025-01-01,10,1,5,6,False
